State_Name,Season,Crop,Area,Production
2,4,13,22006.0,29752.0
2,4,16,12931.0,9970.0
2,4,22,29.0,11.0
2,4,9,1435.0,10721.0
2,4,10,16.0,5.0
2,4,23,381.0,9063.0
2,4,17,472.0,752.0
2,4,1,23142.0,55587.0
2,4,11,11.0,7.0
2,4,19,297.0,175.0
2,2,2,303.0,16231.0
2,2,4,836.0,3358992.0
2,2,26,2962.0,900.0
2,2,5,227.0,20612.0
2,2,14,48677.0,8401.0
2,2,6,23.0,121.0
2,2,8,2.0,15.0
2,1,12,26244.0,3543.0
2,1,15,1506.0,1940.0
2,1,7,1754.0,5658.0
2,1,13,644007.0,43148.0
2,1,16,18043.0,7813.0
2,1,9,4877.0,20181.0
2,1,10,788.0,98.0
2,1,23,869.0,9423.0
2,1,17,2035.0,3696.0
2,1,1,22349.0,67427.0
2,1,25,450.0,48.0
2,1,11,69.0,26.0
2,4,7,10.0,37.0
2,4,18,83533.0,30739.0
2,4,13,18104.0,18991.0
2,4,16,24944.0,15440.0
2,4,22,15.0,4.0
2,4,9,3120.0,23640.0
2,4,10,139.0,52.0
2,4,23,167.0,4075.0
2,4,17,386.0,532.0
2,4,1,10846.0,31974.0
2,4,11,24.0,19.0
2,4,19,190.0,50.0
2,2,2,289.0,14141.0
2,2,4,790.0,6404076.0
2,2,26,1389.0,385.0
2,2,5,339.0,30937.0
2,2,14,60751.0,23561.0
2,2,6,25.0,137.0
2,2,8,1.0,8.0
2,1,12,37000.0,17000.0
2,1,15,3000.0,2000.0
2,1,7,2000.0,9000.0
2,1,13,876000.0,1102000.0
2,1,16,4000.0,3000.0
2,1,9,7000.0,32000.0
2,1,23,2000.0,38000.0
2,1,17,2000.0,4000.0
2,1,1,30000.0,95000.0
2,1,14,19000.0,10000.0
2,4,18,75000.0,78000.0
2,4,13,21000.0,28000.0
2,4,16,12000.0,8000.0
2,4,9,6000.0,48000.0
2,4,1,14000.0,37000.0
2,4,14,26000.0,20000.0
2,1,12,34067.0,13150.0
2,1,15,1611.0,1241.0
2,1,7,1574.0,5506.0
2,1,13,853577.0,75115.0
2,1,16,1782.0,2204.0
2,1,9,6041.0,20896.0
2,1,10,629.0,245.0
2,1,23,1376.0,23531.0
2,1,17,1460.0,3678.0
2,1,1,30306.0,94615.0
2,1,25,112.0,88.0
